,port_id ,municipality_code ,municipality_name ,port_name ,longitude,latitude
82,23008,23008,SOLIDARIDAD,PLAYA DEL CARMEN,-87.0714,20.6259
83,23009,23001,COZUMEL,BANCO PLAYA,-86.9409,20.5274
84,23010,23001,COZUMEL,COZUMEL,-86.9551,20.5092
85,23011,23001,COZUMEL,PUNTA VENADO (CALICA),-87.1256,20.5715
86,23012,23008,SOLIDARIDAD,PUERTO AVENTURAS,-87.2242,20.499
87,23013,23008,SOLIDARIDAD,PUNTA ALLEN,-87.4704,19.7875
88,23014,23004,OTHON P. BLANCO ,MAHAHUAL ,-87.709,18.7115
89,23015,23004,OTHON P. BLANCO ,XCALAK,-87.8328,18.2737
90,23016,23004,OTHON P. BLANCO ,LA AGUADA,-87.8416,18.2284
91,23017,23004,OTHON P. BLANCO ,CHETUMAL ,-88.3007,18.4914
92,25001,25001,AHOME,TOPOLOBAMPO ,-109.056,25.593
93,25002,25002,ANGOSTURA,LA REFORMA,-108.0575,25.0756
94,25003,25018,NAVOLATO,ALTATA,-107.9159,24.6335
95,25004,25012,MAZATLAN,MAZATLAN,-106.4153,23.1858
96,25005,25001,AHOME,TEACAPAN,-105.7427,22.5394
97,25006,25012,MAZATLAN,MARINA MAZATLAN ,-106.4577,23.2704
98,25007,25012,MAZATLAN,MARINA EL CID ,-106.4646,23.269
99,25008,25012,MAZATLAN,MARINA MAZATLAN ,-106.4578,23.2708
100,26001,26055,SAN LUIS RIO COLORADO,GOLFO DE SANTA CLARA ,-114.5803,31.6557
101,26002,26048,PUERTO PENASCO ,PUERTO PENASCO ,-113.5447,31.3054
102,26003,26047,PITIQUITO ,PUERTO LIBERTAD ,-112.6934,29.9018
103,26004,26029,GUAYMAS ,SAN CARLOS,-111.0625,27.9482
104,26005,26029,GUAYMAS ,MARINA REAL,-111.0927,27.9465
105,26006,26029,GUAYMAS ,R. SANCHEZ TABOADA,-110.8692,27.8836
106,26007,26029,GUAYMAS ,GUAYMAS,-110.886,27.9196
107,26008,26033,HUATABAMPO ,YAVAROS ,-109.518,26.7069
108,27001,27002,CARDENAS,SANCHEZ MAGALLANES,-93.854,18.2963
109,27002,27014,PARAISO,DOS BOCAS,-93.1928,18.4379
110,27003,27003,CENTLA,FRONTERA,-92.6553,18.5306
111,27004,27014,PARAISO,BARRA DE CHILTEPEC,-93.0912,18.4416
112,27005,27011,JONUTA,JONUTA,-92.1381,18.0859
113,27006,27003,CENTLA,BARRA DE SAN PEDRO,-92.4688,18.6432
